order_no,staff_name,order_status,order_date,customer_name,trxn_batch_id,coin,sender_wallet,receiver_wallet,coin_amount(usd),purchase_rate(ngnusd),order_time,date_paid,time_paid,month,channel,completed?
006,JPT-001,Paid,2-Jan-2022,Monica Federle,Buy-47857,BTC,kraken,kraken,"$1,264.12",473.62,2:23 PM,2-Jan-2022,3:34:01 AM,Jan-2022,Website,TRUE
008,JPT-001,Paid,3-Jan-2022,Bryan Davis,Buy-47858,BTC,kraken,kraken,"$5,800.08",473.54,2:23 PM,2-Jan-2022,4:34:01 AM,Jan-2022,Website,TRUE
009,JPT-001,Paid,3-Jan-2022,Carlos Daly,Buy-47858,BTC,kraken,kraken,$368.08,476.92,2:23 PM,3-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
011,JPT-001,Paid,4-Jan-2022,Bryan Davis,Buy-47859,BTC,kraken,kraken,"$6,928.86",475.23,2:23 PM,5-Jan-2022,9:34:01 AM,Jan-2022,Website,TRUE
012,JPT-001,Paid,4-Jan-2022,Muhammed MacIntyre,Buy-47859,BTC,kraken,kraken,$929.50,473.54,2:23 PM,6-Jan-2022,10:34:01 AM,Jan-2022,Website,TRUE
013,JPT-001,Paid,4-Jan-2022,Bryan Mills,Buy-47859,BTC,kraken,kraken,"$1,133.25",476.07,2:23 PM,7-Jan-2022,11:34:01 AM,Jan-2022,Website,TRUE
015,JPT-001,Paid,4-Jan-2022,Muhammed MacIntyre,Buy-47859,BTC,kraken,kraken,"$1,319.89",475.23,2:23 PM,9-Jan-2022,1:34:01 PM,Jan-2022,Website,TRUE
016,JPT-001,Paid,4-Jan-2022,Fred Wasserman,Buy-47859,BTC,kraken,kraken,"$2,248.65",476.92,2:23 PM,10-Jan-2022,2:34:01 PM,Jan-2022,Website,TRUE
018,JPT-001,Paid,5-Jan-2022,Monica Federle,Buy-47860,BTC,kraken,kraken,"$1,766.79",476.92,2:23 PM,11-Jan-2022,3:34:01 PM,Jan-2022,Website,TRUE
022,JPT-001,Paid,5-Jan-2022,Monica Federle,Buy-47860,BTC,kraken,kraken,$443.93,476.92,2:23 PM,16-Jan-2022,8:34:01 PM,Jan-2022,Website,TRUE
023,JPT-001,Paid,5-Jan-2022,Filia McAdams,Buy-47860,BTC,kraken,kraken,"$19,057.72",476.92,2:23 PM,17-Jan-2022,9:34:01 PM,Jan-2022,Website,TRUE
024,JPT-001,Paid,5-Jan-2022,Sanjit Chand,Buy-47860,BTC,kraken,kraken,$535.39,476.92,2:23 PM,18-Jan-2022,10:34:01 PM,Jan-2022,Website,TRUE
025,JPT-001,Paid,6-Jan-2022,Luke Weiss,Buy-47861,BTC,kraken,kraken,"$2,904.50",476.07,2:23 PM,19-Jan-2022,11:34:01 PM,Jan-2022,Website,TRUE
029,JPT-001,Paid,6-Jan-2022,Rob Dowd,Buy-47861,BTC,kraken,kraken,"$1,472.33",476.07,2:23 PM,23-Jan-2022,3:34:01 AM,Jan-2022,Website,TRUE
030,JPT-001,Paid,6-Jan-2022,Luke Weiss,Buy-47861,BTC,kraken,kraken,"$4,459.37",476.92,2:23 PM,24-Jan-2022,4:34:01 AM,Jan-2022,Website,TRUE
031,JPT-001,Paid,6-Jan-2022,Bryan Davis,Buy-47861,BTC,kraken,kraken,"$1,487.20",479.46,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
032,JPT-001,Paid,6-Jan-2022,Tony Chapman,Buy-47861,BTC,kraken,kraken,"$20,157.51",478.61,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
033,JPT-001,Paid,6-Jan-2022,Khloe Miller,Buy-47861,BTC,kraken,kraken,"$4,464.57",480.30,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
035,JPT-001,Paid,7-Jan-2022,Luke Weiss,Buy-47862,BTC,kraken,kraken,$588.93,478.61,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
036,JPT-001,Paid,7-Jan-2022,Khloe Miller,Buy-47862,BTC,kraken,kraken,"$1,186.79",478.61,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
037,JPT-001,Paid,7-Jan-2022,Fred Wasserman,Buy-47862,BTC,kraken,kraken,"$1,240.32",480.30,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
038,JPT-001,Paid,7-Jan-2022,Tony Chapman,Buy-47862,BTC,kraken,kraken,"$20,041.51",480.30,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
039,JPT-001,Paid,7-Jan-2022,Tony Chapman,Buy-47862,BTC,kraken,kraken,"$30,231.80",480.30,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
040,JPT-001,Paid,8-Jan-2022,Bryan Davis,Buy-47863,BTC,kraken,kraken,"$1,634.43",480.30,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
041,JPT-001,Paid,8-Jan-2022,Bryan Davis,Buy-47863,BTC,kraken,kraken,"$3,721.72",480.30,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
042,JPT-001,Paid,8-Jan-2022,Monica Federle,Buy-47863,BTC,kraken,kraken,"$1,189.76",480.30,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
